user_id,register_date,city_tier,user_segment
U0001,2026-04-01,tier_3,returning
U0002,2026-04-01,tier_3,new
U0003,2026-04-01,tier_3,active
U0004,2026-04-01,tier_1,new
U0005,2026-04-01,tier_1,new
U0006,2026-04-01,tier_1,returning
U0007,2026-04-01,tier_3,new
U0008,2026-04-01,tier_3,new
U0009,2026-04-01,tier_3,returning
U0010,2026-04-01,tier_3,returning
U0011,2026-04-01,tier_2,new
U0012,2026-04-01,tier_2,returning
U0013,2026-04-01,tier_2,new
U0014,2026-04-01,tier_1,returning
U0015,2026-04-01,tier_2,active
U0016,2026-04-01,tier_2,new
U0017,2026-04-01,tier_1,active
U0018,2026-04-01,tier_1,new
U0019,2026-04-01,tier_2,new
U0020,2026-04-01,tier_2,active
U0021,2026-04-01,tier_3,active
U0022,2026-04-01,tier_1,returning
U0023,2026-04-01,tier_2,returning
U0024,2026-04-01,tier_1,active
U0025,2026-04-01,tier_1,returning
U0026,2026-04-01,tier_2,returning
U0027,2026-04-01,tier_3,active
U0028,2026-04-01,tier_3,new
U0029,2026-04-01,tier_3,new
U0030,2026-04-01,tier_1,returning
U0031,2026-04-01,tier_1,active
U0032,2026-04-01,tier_1,new
U0033,2026-04-01,tier_1,active
U0034,2026-04-01,tier_2,active
U0035,2026-04-01,tier_3,active
U0036,2026-04-01,tier_1,active
U0037,2026-04-01,tier_2,new
U0038,2026-04-01,tier_3,active
U0039,2026-04-01,tier_3,returning
U0040,2026-04-01,tier_3,new
U0041,2026-04-01,tier_3,returning
U0042,2026-04-01,tier_1,returning
U0043,2026-04-01,tier_3,new
U0044,2026-04-01,tier_1,active
U0045,2026-04-01,tier_2,active
U0046,2026-04-01,tier_3,returning
U0047,2026-04-01,tier_3,new
U0048,2026-04-01,tier_3,active
U0049,2026-04-01,tier_1,new
U0050,2026-04-01,tier_1,active
U0051,2026-04-01,tier_2,active
U0052,2026-04-01,tier_1,new
U0053,2026-04-01,tier_3,returning
U0054,2026-04-01,tier_2,new
U0055,2026-04-01,tier_3,active
U0056,2026-04-01,tier_2,returning
U0057,2026-04-01,tier_2,new
U0058,2026-04-01,tier_2,new
U0059,2026-04-01,tier_1,returning
U0060,2026-04-01,tier_3,returning
U0061,2026-04-01,tier_2,returning
U0062,2026-04-01,tier_3,active
U0063,2026-04-01,tier_3,active
U0064,2026-04-01,tier_2,new
U0065,2026-04-01,tier_1,returning
U0066,2026-04-01,tier_2,new
U0067,2026-04-01,tier_1,new
U0068,2026-04-01,tier_1,returning
U0069,2026-04-01,tier_1,returning
U0070,2026-04-01,tier_2,returning
U0071,2026-04-01,tier_1,active
U0072,2026-04-01,tier_2,returning
U0073,2026-04-01,tier_2,returning
U0074,2026-04-01,tier_2,returning
U0075,2026-04-01,tier_1,returning
U0076,2026-04-01,tier_3,new
U0077,2026-04-01,tier_3,returning
U0078,2026-04-01,tier_2,returning
U0079,2026-04-01,tier_2,new
U0080,2026-04-01,tier_2,active
U0081,2026-04-01,tier_1,active
U0082,2026-04-01,tier_1,returning
U0083,2026-04-01,tier_3,active
U0084,2026-04-01,tier_3,new
U0085,2026-04-01,tier_3,new
U0086,2026-04-01,tier_3,active
U0087,2026-04-01,tier_3,returning
U0088,2026-04-01,tier_3,new
U0089,2026-04-01,tier_1,active
U0090,2026-04-01,tier_1,returning
U0091,2026-04-01,tier_3,new
U0092,2026-04-01,tier_3,active
U0093,2026-04-01,tier_2,new
U0094,2026-04-01,tier_1,active
U0095,2026-04-01,tier_2,new
U0096,2026-04-01,tier_1,new
U0097,2026-04-01,tier_3,new
U0098,2026-04-01,tier_1,returning
U0099,2026-04-01,tier_2,new
U0100,2026-04-01,tier_3,new
U0101,2026-04-01,tier_1,returning
U0102,2026-04-01,tier_2,returning
U0103,2026-04-01,tier_1,active
U0104,2026-04-01,tier_3,returning
U0105,2026-04-01,tier_2,new
U0106,2026-04-01,tier_3,returning
U0107,2026-04-01,tier_3,new
U0108,2026-04-01,tier_3,active
U0109,2026-04-01,tier_2,returning
U0110,2026-04-01,tier_3,active
U0111,2026-04-01,tier_2,returning
U0112,2026-04-01,tier_2,new
U0113,2026-04-01,tier_1,new
U0114,2026-04-01,tier_1,active
U0115,2026-04-01,tier_1,returning
U0116,2026-04-01,tier_3,new
U0117,2026-04-01,tier_3,new
U0118,2026-04-01,tier_1,new
U0119,2026-04-01,tier_3,returning
U0120,2026-04-01,tier_1,new
U0121,2026-04-01,tier_1,new
U0122,2026-04-01,tier_2,new
U0123,2026-04-01,tier_3,new
U0124,2026-04-01,tier_2,returning
U0125,2026-04-01,tier_2,new
U0126,2026-04-01,tier_3,new
U0127,2026-04-01,tier_3,returning
U0128,2026-04-01,tier_3,active
U0129,2026-04-01,tier_1,active
U0130,2026-04-01,tier_2,new
U0131,2026-04-01,tier_1,new
U0132,2026-04-01,tier_3,active
U0133,2026-04-01,tier_2,active
U0134,2026-04-01,tier_2,active
U0135,2026-04-01,tier_3,new
U0136,2026-04-01,tier_3,returning
U0137,2026-04-01,tier_3,new
U0138,2026-04-01,tier_1,active
U0139,2026-04-01,tier_3,active
U0140,2026-04-01,tier_1,new
U0141,2026-04-01,tier_1,new
U0142,2026-04-01,tier_3,active
U0143,2026-04-01,tier_1,active
U0144,2026-04-01,tier_1,active
U0145,2026-04-01,tier_2,new
U0146,2026-04-01,tier_1,active
U0147,2026-04-01,tier_3,new
U0148,2026-04-01,tier_1,returning
U0149,2026-04-01,tier_3,new
U0150,2026-04-01,tier_1,new
U0151,2026-04-01,tier_1,active
U0152,2026-04-01,tier_2,active
U0153,2026-04-01,tier_1,active
U0154,2026-04-01,tier_1,new
U0155,2026-04-01,tier_2,new
U0156,2026-04-01,tier_2,active
U0157,2026-04-01,tier_2,active
U0158,2026-04-01,tier_2,returning
U0159,2026-04-01,tier_3,returning
U0160,2026-04-01,tier_3,returning
U0161,2026-04-01,tier_2,new
U0162,2026-04-01,tier_1,active
U0163,2026-04-01,tier_1,new
U0164,2026-04-01,tier_3,returning
U0165,2026-04-01,tier_3,new
U0166,2026-04-01,tier_3,active
U0167,2026-04-01,tier_1,new
U0168,2026-04-01,tier_3,active
U0169,2026-04-01,tier_3,returning
U0170,2026-04-01,tier_1,new
U0171,2026-04-01,tier_3,new
U0172,2026-04-01,tier_1,new
U0173,2026-04-01,tier_3,new
U0174,2026-04-01,tier_3,new
U0175,2026-04-01,tier_2,new
U0176,2026-04-01,tier_3,new
U0177,2026-04-01,tier_3,returning
U0178,2026-04-01,tier_1,returning
U0179,2026-04-01,tier_1,active
U0180,2026-04-01,tier_3,returning
U0181,2026-04-01,tier_3,returning
U0182,2026-04-01,tier_2,active
U0183,2026-04-01,tier_1,returning
U0184,2026-04-01,tier_3,active
U0185,2026-04-01,tier_1,active
U0186,2026-04-01,tier_2,new
U0187,2026-04-01,tier_3,returning
U0188,2026-04-01,tier_2,active
U0189,2026-04-01,tier_2,new
U0190,2026-04-01,tier_1,active
U0191,2026-04-01,tier_3,returning
U0192,2026-04-01,tier_1,new
U0193,2026-04-01,tier_3,new
U0194,2026-04-01,tier_3,active
U0195,2026-04-01,tier_1,active
U0196,2026-04-01,tier_1,new
U0197,2026-04-01,tier_2,active
U0198,2026-04-01,tier_1,active
U0199,2026-04-01,tier_3,returning
U0200,2026-04-01,tier_2,returning
